patient_id,name,unique_code,health_details_submitted,created_at
1,self,AADHAAR:963258147012,1,2026-02-25T13:17:20Z
2,funny,AADHAAR:963258147013,0,2026-02-27T07:43:07Z
3,fun,AADHAAR:963258147014,0,2026-02-27T07:58:22Z
4,funn,AADHAAR:963258147015,1,2026-02-27T08:01:09Z
5,keerthana,AADHAAR:963258147019,1,2026-02-27T11:17:52Z
6,seenu,AADHAAR:963258147011,1,2026-03-02T05:51:39Z
7,shiva,AADHAAR:963258147052,1,2026-03-02T11:37:26Z
8,self1,AADHAAR:123456789101,1,2026-03-02T12:08:50Z
9,sai,AADHAAR:987654321101,1,2026-03-03T06:06:20Z
10,fus,AADHAAR:987654321011,1,2026-03-03T06:27:11Z
11,esa,AADHAAR:963258147018,1,2026-03-04T11:55:54Z
12,self 2,AADHAAR:963258147016,1,2026-03-05T11:38:51Z
13,jahnavi,AADHAAR:963852741852,1,2026-03-08T11:10:12Z
14,janu,AADHAAR:968574123582,1,2026-03-08T11:18:57Z
15,bhavi,AADHAAR:963784875163,1,2026-03-08T11:39:21Z
16,Manu,AADHAAR:987651234567,1,2026-03-09T16:29:34Z
17,jahnavi2,AUTO:PATIENT-17,1,2026-03-11T09:55:20Z
18,janvi,AUTO:PATIENT-18,1,2026-03-12T13:51:14Z
19,janu23,AUTO:PATIENT-19,0,2026-03-23T07:03:48Z
20,meghashyam royal,AUTO:PATIENT-20,1,2026-03-23T07:21:59Z
21,keerthi,AUTO:PATIENT-21,1,2026-03-23T10:37:38Z
22,janu132,AUTO:PATIENT-22,1,2026-03-23T12:31:35Z
23,Janu@2002,AUTO:PATIENT-23,1,2026-03-24T08:39:49Z
24,surya,AUTO:PATIENT-24,1,2026-03-27T08:24:00Z
25,jabc,AUTO:PATIENT-25,0,2026-03-31T18:00:46Z
26,kusha,AUTO:PATIENT-26,0,2026-04-01T09:41:46Z
27,baby,AUTO:PATIENT-27,0,2026-04-01T09:49:34Z
